   Antipoliomielitica ,9828524,9725195,9457201,7310509,1395541,1796813,4568731,3617809,3044484,5681331,5531828,5582893,5734242,5266964,5760542,6820005,91122612
   Pentavalente,2365195,2876101,2520170,2596767,1352694,1602384,4357459,1172736,1505840,2733494,1823336,1513236,1747705,1712912,1669766,1501458,33051253
   DPT,696048,682759,1160275,1335967,766474,740436,1302039,717024,328726,540765,282412,325762,290556,358166,300219,254978,10082606
   BCG,963965,957233,888187,1557016,232675,517528,1937060,539288,799784,551089,845911,857934,755460,762265,699980,580493,13445868
   Antirrabica Humana,83895,82601,81615,91704,,,7247,,5993,5080,4845,5013,4578,82467,68689,71976,595703
   Antihepatitis b,4953049,5477912,577978,621554,589155,675178,1157354,1082891,2142345,3108169,2323968,2470350,2576253,2476961,2154349,1893887,34281353
   Antineumococica,1026632,1180065,741519,603805,469317,600110,1509108,1505944.34,1741307,4254242,1350965,1597611,1451843,1495083,1282930,1176154,21986635.34
   Triple Viral,2138484,2379821,2465693,2100133,679305,731692,1519196,1109756,670807,761362,1088762,1117003,1035969,1040409,1104540,1154875,21097807
   Toxoide Tetanico Difterico   ,7756804,7376830,4131652,6835298,3861804,5232527,11300412,5979362,6518516,7126015,6296967,7744547,8093127,7889203,7137769,5221271,108502104
   Doble Viral,13902,1237916,2665398,2776101,1407482,1799754,4692000,2188108,2553301,2584872,355491,482402,422012,323364,265770,161920,23929793
   Anti Influenza,,,,,,,,,,,,,,,11526532,11210954,22737486
   Otras,,10253,1089772,1240642,1160741,1228703,886463,2524857,3574918,5110855,3463136,3736735,3938670,4034248,3976111,1265717,37241821
